,Year,Month,level_1,y_test_values,predictions
765,2018,3,Goose Island,488072,486847
770,2018,3,Beverly Woods,209559,208536
772,2018,3,Ukrainian Village,495428,493464
886,2018,3,Cragin,259983,259792
900,2018,3,The Robert Taylor Homes,89298,90753
913,2018,3,Hollywood Park,346233,347042
962,2018,3,Stony Island Park,148725,148846
977,2018,3,Clearing,221210,221551
981,2018,3,Sauganash Woods,405561,402096
983,2018,3,Groveland Park,345990,350001
984,2018,3,North Austin,186899,183430
1001,2018,3,Streeterville,487818,486274
1086,2018,3,Washington Park,95727,94876
1101,2018,3,West De Paul,784371,783742
1113,2018,3,Humboldt Park,278081,275384
1116,2018,3,Union Ridge,286242,285571
1136,2018,3,Chicago Lawn,148322,151230
1138,2018,3,Oriole Park,306037,305651
1207,2018,3,Norwood Park East,338050,337628
1217,2018,3,The Villa,517034,518451
1252,2018,3,Near North,433024,431026
24,2018,4,East Pilsen,345299,346711
31,2018,4,McKinley Park,222820,221785
54,2018,4,Wrigleyville,486175,487653
64,2018,4,Beverly View,167364,164798
65,2018,4,Garfield Ridge,231956,231973
66,2018,4,Lakewood - Balmoral,1010876,1019198
104,2018,4,Chicago Lawn,148678,151230
106,2018,4,Pullman,84639,84086
121,2018,4,North Park,347501,346092
124,2018,4,West Pullman,88134,86174
190,2018,4,Hegewisch,126621,126348
193,2018,4,Vittum Park,209189,208707
246,2018,4,Morgan Park,142057,140980
252,2018,4,Gage Park,149842,148664
260,2018,4,LeClaire Courts,165561,169291
298,2018,4,Gladstone Park,309970,309185
317,2018,4,Parkview,173325,174544
342,2018,4,Montclare,257064,256694
354,2018,4,Edison Park,367578,365588
357,2018,4,Galewood,260895,261240
360,2018,4,Lake Calumet,114269,116090
376,2018,4,Mount Greenwood,238158,238532
417,2018,4,Dunning,261838,262013
448,2018,4,Sauganash Woods,406798,408854
492,2018,4,West Chatham,104606,103242
525,2018,4,South Old Irving Park,350430,350596
539,2018,4,Chrysler Village,158972,159154
563,2018,4,West Woodlawn,92183,90628
573,2018,4,North Kenwood,285559,287070
607,2018,4,Lake View,538155,538488
636,2018,4,West Town,497246,498043
686,2018,4,Andersonville,454692,454722
695,2018,4,Budlong Woods,312496,312098
704,2018,4,Edgewater,237617,237221
728,2018,4,Fulton River District,477128,474709
729,2018,4,Big Oaks,298984,297686
750,2018,4,North Mayfair,332322,330600
762,2018,4,Eden Green,55658,55308
789,2018,4,East Beverly,231221,229328
815,2018,4,Princeton Park,109904,110122
866,2018,4,Schorsch Village,291878,291575
872,2018,4,Riverdale,62854,64918
895,2018,4,Ravenswood Gardens,591724,595244
917,2018,4,Bucktown,583966,583843
929,2018,4,Bowmanville,520710,520668
939,2018,4,Beverly,340916,340628
1009,2018,4,Cabrini Green,430544,432199
1100,2018,4,O'Hare,295407,294781
1104,2018,4,Near West Side,415478,414546
1130,2018,4,Logan Square,391580,390989
1134,2018,4,Kennedy Park,221325,220273
1151,2018,4,Bronzeville,247888,247491
1152,2018,4,Sheffield Neighbors,1050454,1048683
1188,2018,4,South East Ravenswood,850452,846764
23,2018,5,Cragin,259427,259864
25,2018,5,Oriole Park,308088,307225
37,2018,5,West Humboldt Park,167731,166054
39,2018,5,Stateway Gardens,240590,244118
41,2018,5,Sauganash,438572,439678
50,2018,5,Lakewood - Balmoral,1008000,1007137
