,RegionName,variable,value
149,Andersonville,1997-01,167058.0
150,Stony Island Park,1997-01,103582.0
151,West Morgan Park,1997-01,121399.0
152,Belmont Terrace,1997-01,139222.0
153,Magnolia Glen,1997-01,145132.0
154,Altgeld Gardens,1997-01,0.0
155,Graceland West,1997-01,290634.0
156,Marynook,1997-01,91765.0
157,The Bush,1997-01,0.0
158,Dearborn Park,1997-01,183508.0
159,Fifth City,1997-01,0.0
160,Lakewood - Balmoral,1997-01,392304.0
161,The Gap,1997-01,0.0
162,South East Ravenswood,1997-01,314624.0
163,Kennedy Park,1997-01,137188.0
164,The Robert Taylor Homes,1997-01,0.0
165,Jackson Park Highlands,1997-01,0.0
166,O'Hare International Airport,1997-01,0.0
167,Princeton Park,1997-01,0.0
168,Printers Row,1997-01,141803.0
169,River West,1997-01,0.0
170,Illinois Medical District,1997-01,0.0
171,Gladstone Park,1997-01,173599.0
172,Cottage Grove Heights,1997-01,0.0
173,East Pilsen,1997-01,164716.0
174,Fuller Park,1997-01,0.0
175,Ravenswood Gardens,1997-01,195441.0
176,Sauganash Woods,1997-01,271881.0
177,River's Edge,1997-01,0.0
178,LeClaire Courts,1997-01,0.0
179,Pill Hill,1997-01,82155.0
180,South Old Irving Park,1997-01,160933.0
181,Tally's Corner,1997-01,213900.0
182,South Commons,1997-01,0.0
183,Chrysler Village,1997-01,0.0
184,Parkview,1997-01,107084.0
185,Pullman,1997-01,0.0
186,Peterson Park,1997-01,207936.0
187,Beverly Woods,1997-01,122871.0
188,Greektown,1997-01,0.0
189,Forest Glen,1997-01,174899.0
190,Sleepy Hollow,1997-01,0.0
191,The Island,1997-01,0.0
192,Edgewater Glen,1997-01,0.0
193,Golden Gate,1997-01,0.0
194,Marycrest,1997-01,199378.0
195,Winneconna Parkway,1997-01,0.0
196,Stateway Gardens,1997-01,0.0
197,Lithuanian Plaza,1997-01,0.0
198,Heart of Italy,1997-01,0.0
199,Old Edgebrook,1997-01,281396.0
200,The Villa,1997-01,226441.0
201,Beverly View,1997-01,85642.0
202,Eden Green,1997-01,0.0
203,Mount Greenwood Heights,1997-01,129279.0
204,Cabrini Green,1997-01,0.0
205,Schorsch Forest View,1997-01,190657.0
206,Riverdale,1997-01,0.0
207,Groveland Park,1997-01,0.0
208,Brynford Park,1997-01,249459.0
209,Logan Square,1997-02,147431.0
210,Little Village,1997-02,0.0
211,West Rogers Park,1997-02,140147.0
212,South Austin,1997-02,0.0
213,Albany Park,1997-02,130820.0
214,Uptown,1997-02,124288.0
215,Lake View,1997-02,231099.0
216,Rogers Park,1997-02,105952.0
217,Gresham,1997-02,88837.0
218,Brighton Park,1997-02,93951.0
219,Englewood,1997-02,0.0
220,Jefferson Park,1997-02,167202.0
221,Portage Park,1997-02,171432.0
222,South Loop,1997-02,153276.0
223,Humboldt Park,1997-02,100329.0
224,Gage Park,1997-02,73568.0
225,Bridgeport,1997-02,167778.0
226,Edgewater,1997-02,107174.0
227,Lake View East,1997-02,153817.0
228,South Shore,1997-02,48605.0
229,Cragin,1997-02,136201.0
230,Back of the Yards,1997-02,0.0
231,West Lawn,1997-02,110528.0
232,Bronzeville,1997-02,91933.0
233,Belmont Central,1997-02,129297.0
234,Marquette Park,1997-02,93787.0
235,Garfield Ridge,1997-02,142468.0
236,Near North,1997-02,177526.0
237,West Pullman,1997-02,49626.0
238,South Chicago,1997-02,0.0
239,West Town,1997-02,213241.0
240,West Englewood,1997-02,0.0
241,North Austin,1997-02,61744.0
242,East Garfield Park,1997-02,0.0
243,Ravenswood,1997-02,179226.0
244,East Side,1997-02,77694.0
245,Hermosa,1997-02,77043.0
246,North Center,1997-02,245535.0
247,Roseland,1997-02,37994.0
248,Streeterville,1997-02,212274.0
249,West Elsdon,1997-02,106762.0
250,Bucktown,1997-02,244285.0
251,Hyde Park,1997-02,174224.0
252,Chicago Lawn,1997-02,69463.0
253,Chatham,1997-02,73392.0
254,Clearing,1997-02,133451.0
255,Avondale,1997-02,154553.0
256,Heart of Chicago,1997-02,128296.0
257,University Village - Little Italy,1997-02,221924.0
258,Morgan Park,1997-02,116369.0
259,Mount Greenwood,1997-02,141077.0
260,Archer Heights,1997-02,100605.0
